Bathrooms,Bedrooms2,Date Created,Builder2,Floor,Furnished Status,Price2,Project Name,Property Type,Verified,Brand New,User Type,Prop ID2
2,3,20210523,Lakshmi Infratech India Ltd.,1,Semi-Furnished,7000000,Lakshmis Shell Serenity,Apartment,,Resale,Owner,domcache_srp_55171407
2,2,20210807,,4,Unfurnished,2200000,,Apartment,,Resale,Owner,domcache_srp_53756543
2,2,20210523,,1,Unfurnished,9800000,,Residential House,,Resale,Owner,domcache_srp_49715802
3,3,20210729,,4,Furnished,3500000,Sri Mahalaxmi Residency,Apartment,,Resale,Owner,domcache_srp_53697881
2,2,20210522,,,Semi-Furnished,7800000,,Residential House,,Resale,Owner,domcache_srp_54772577
3,3,20210623,,2,Semi-Furnished,10000000,HIG Chitrapuri HILLS,Apartment,,Resale,Owner,domcache_srp_53881273
2,2,20210620,Trishala Infrastructure Pvt. Ltd.,1,Semi-Furnished,8500000,Luxor Apartments,Apartment,,Resale,Owner,domcache_srp_54213187
3,2,20210723,,Lower Basement,Semi-Furnished,7500000,,Residential House,,Resale,Owner,domcache_srp_50186666
2,2,20210717,,5,Semi-Furnished,4500000,,Apartment,,Resale,Owner,domcache_srp_55071735
3,3,20210714,,Ground,Unfurnished,4800000,,Residential House,,Resale,Owner,domcache_srp_54601673
1,1,20210717,,4,Unfurnished,1925000,,Apartment,,Resale,Owner,domcache_srp_53010921
3,3,20210717,Indis,17,Semi-Furnished,10500000,PBEL City,Apartment,,Resale,Owner,domcache_srp_54135545
2,2,20210521,,4,Furnished,6250000,Sri Sai Land Mark,Apartment,,Resale,Owner,domcache_srp_55161289
3,2,20210423,,2,Furnished,5200000,,Residential House,,Resale,Owner,domcache_srp_54931623
